username,tag,time,tweet,comment,like,retweet
Elon Musk,@elonmusk,2021-04-16T02:13:57.000Z, Austin Rocks!!   Austin Rocks!!  ,10K,163.1K,10.8K
Elon Musk,@elonmusk,2021-04-16T00:50:37.000Z,Make life multiplanetary! #MarsMake life multiplanetary! #Mars,14.6K,322.2K,32K
Elon Musk,@elonmusk,2021-04-15T04:33:18.000Z,Doge Barking at the MoonDoge Barking at the Moon,22.6K,334.3K,55.1K
Elon Musk,@elonmusk,2021-04-15T03:47:00.000Z,Le Petit PrinceLe Petit Prince,2.7K,91K,4.3K
Elon Musk,@elonmusk,2021-04-15T03:42:35.000Z,"☾

           𖨆♡☾

           𖨆♡",10.7K,327.4K,41.6K
Elon Musk,@elonmusk,2021-04-14T21:57:08.000Z,Tesla AI/Autopilot engineering is awesome! Making excellent progress solving real-world AI.Tesla AI/Autopilot engineering is awesome! Making excellent progress solving real-world AI.,5.5K,130.7K,7.6K
Elon Musk,@elonmusk,2021-04-11T15:48:58.000Z,Love this beautiful shotLove this beautiful shot,3.8K,94.3K,2.2K
Elon Musk,@elonmusk,2021-04-11T12:23:49.000Z,The art In Cyberpunk is incredibleThe art In Cyberpunk is incredible,9.8K,272.9K,12.7K
Elon Musk,@elonmusk,2021-04-10T22:09:02.000Z,Blimps rockBlimps rock,9.9K,180.4K,8.3K
Elon Musk,@elonmusk,2021-04-10T07:45:17.000Z,Just needs some legsJust needs some legs,2.1K,49.5K,1.4K
Elon Musk,@elonmusk,2021-04-10T07:45:10.000Z,The Starship launch tower that catches the giant rocket booster is basically MechazillaThe Starship launch tower that catches the giant rocket booster is basically Mechazilla,3.6K,84.2K,3.6K
Elon Musk,@elonmusk,2021-04-10T07:29:45.000Z,But wait how is the core of the earth lit by the sun? Stop asking questions!!But wait how is the core of the earth lit by the sun? Stop asking questions!!,2.3K,71.3K,2.9K
Elon Musk,@elonmusk,2021-04-10T07:29:01.000Z,Kong vs Godzilla has record for most meth ever consumed in a writer’s roomKong vs Godzilla has record for most meth ever consumed in a writer’s room,4.2K,179.8K,15.6K
Elon Musk,@elonmusk,2021-04-10T07:15:47.000Z,… going to moon very soon… going to moon very soon,31.2K,543.3K,54K
Elon Musk,@elonmusk,2021-04-10T06:41:45.000Z,Where is Shrek 5!?Where is Shrek 5!?,4.7K,276.2K,27K
Elon Musk,@elonmusk,2021-04-09T22:24:01.000Z,It’s all about the cufflinksIt’s all about the cufflinks,5.3K,344.7K,27.6K
Elon Musk,@elonmusk,2021-04-09T11:24:30.000Z,Thanks to all that helped SpaceX!Thanks to all that helped SpaceX!,1.1K,37.5K,1K
Elon Musk,@elonmusk,2021-04-09T11:21:13.000Z,Just read it. Book is accurate.Just read it. Book is accurate.,2K,58.5K,4K
Elon Musk,@elonmusk,2021-04-09T00:24:31.000Z,"First 
@Neuralink
 product will enable someone with paralysis to use a smartphone with their mind faster than someone using thumbsFirst 
@Neuralink
 product will enable someone with paralysis to use a smartphone with their mind faster than someone using thumbs",6K,176K,23.4K
Elon Musk,@elonmusk,2021-04-09T00:16:21.000Z,Monkey plays Pong with his mindMonkey plays Pong with his mind,4.6K,134.4K,17.7K
Elon Musk,@elonmusk,2021-04-08T09:41:16.000Z,Thanks Tesla suppliers for providing us with critical parts!Thanks Tesla suppliers for providing us with critical parts!,5.2K,187.7K,6.5K
Elon Musk,@elonmusk,2021-04-07T20:02:22.000Z,"To be clear, I do support vaccines in general & covid vaccines specifically. The science is unequivocal. 

In very rare cases, there is an allergic reaction, but this is easily addressed with an EpiPen.To be clear, I do support vaccines in general & covid vaccines specifically. The science is unequivocal. 

In very rare cases, there is an allergic reaction, but this is easily addressed with an EpiPen.",11.2K,195.4K,16.2K
SpaceX,@SpaceX,2021-04-07T17:39:47.000Z,"Deployment of 60 Starlink satellites confirmed, completing SpaceX’s 10th mission this yearDeployment of 60 Starlink satellites confirmed, completing SpaceX’s 10th mission this year",1.5K,40.5K,4.1K
Elon Musk,@elonmusk,2021-04-06T19:28:24.000Z,“Tanks for the memery!” – Panzer of the Lake“Tanks for the memery!” – Panzer of the Lake,5.7K,133.5K,5.3K
Elon Musk,@elonmusk,2021-04-05T11:01:29.000Z,"The Earth is not flat, it’s a hollow globe & Donkey King lives there!The Earth is not flat, it’s a hollow globe & Donkey King lives there!",11.9K,286.3K,24.6K
SpaceX,@SpaceX,2021-04-05T10:21:25.000Z,Dragon is go for the first-ever port relocation flight of a commercial spacecraft http://nasa.gov/liveDragon is go for the first-ever port relocation flight of a commercial spacecraft http://nasa.gov/live,885,24.2K,2K
